WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
912,AZE,GGXCNL_NGDP,Azerbaijan,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-6.416,-1.093,-2.164,-1.032,1.631,-1.033,0.145,21.764,19.393,1.605,1.781,2.741,0.663,2.337,17.194,5.853,13.831,10.86,3.705,1.643,2.742,-4.814,-1.126,-1.366,5.609,5.292,3.225,2.65,1.958,1.509,1.352,2018
313,BHS,GGXCNL_NGDP,The Bahamas,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-3.165,-2.813,-2.77,-1.578,-0.937,-0.347,-0.68,-2.193,-0.978,1.353,-0.436,-0.218,-1.975,-2.118,-1.85,-1.858,-1.059,-1.76,-1.427,-3.524,-3.349,-3.654,-4.314,-5.109,-4.438,-3.78,-2.62,-5.486,-3.39,-1.791,-6.039,-3.667,-2.236,-1.31,-0.746,2018
419,BHR,GGXCNL_NGDP,Bahrain,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-7.076,-3.615,-5.635,-2.883,-5.397,-4.158,0.253,-6.658,-5.725,-5.055,7.639,0.725,-3.411,-1.775,0.247,2.914,2.338,1.586,4.257,-5.586,-5.834,-1.482,-5.509,-9.723,-1.569,-18.399,-17.552,-14.234,-11.915,-8.044,-8.063,-8.204,-7.927,-8.096,-8.67,2018
513,BGD,GGXCNL_NGDP,Bangladesh,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-6.999,-6.114,-6.66,-6.802,-5.456,-4.996,-5.462,-5.188,-4.881,-5.083,-0.181,0.521,0.419,0.502,0.038,-0.444,-2.375,-2.284,-2.571,-1.564,-2.918,-4.08,-2.738,-2.343,-2.624,-2.853,-2.573,-2.233,-4.031,-3.21,-2.675,-3.589,-2.978,-3.381,-3.077,-3.975,-3.361,-3.34,-4.641,-4.833,-4.824,-4.777,-4.621,-4.481,-4.503,2018
316,BRB,GGXCNL_NGDP,Barbados,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.832,6.449,3.918,5.805,6.426,5.788,5.351,4.383,-6.853,-4.708,-4.415,-4.454,-4.761,-5.97,-5.872,-8.641,-9.679,-5.294,-8.001,-10.24,-7.497,-9.102,-5.347,-4.285,-0.299,3.325,2.848,2.392,2,1.483,0.904,2019
913,BLR,GGXCNL_NGDP,Belarus,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-4.901,-8.073,-6.969,-7.304,-6.934,-7.967,-8.087,-11.275,-7.232,-4.187,-2.806,0.36,-0.982,0.092,-2.964,-1.659,-0.337,2.41,-1.301,-4.177,-1.878,-2.261,-2.745,-3.328,2018
124,BEL,GGXCNL_NGDP,Belgium,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-9.649,-15.909,-12.661,-14.913,-11.113,-10.302,-10.19,-8.055,-7.427,-7.74,-6.918,-7.594,-8.338,-7.629,-5.22,-4.446,-3.932,-2.125,-0.948,-0.551,-0.072,0.172,0.045,-1.761,-0.157,-2.761,0.219,0.066,-1.103,-5.383,-4.001,-4.194,-4.235,-3.13,-3.099,-2.389,-2.408,-0.83,-0.687,-1.276,-1.298,-1.368,-1.477,-1.46,-1.469,2018
339,BLZ,GGXCNL_NGDP,Belize,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-2.472,-2.411,-3.827,-8.889,-9.141,-9.726,-6.996,-11.291,-7.285,-4.581,-1.722,-2.6,0.975,-3.429,-2.434,-1.362,-1.381,-0.721,-2.151,-6.283,-5.916,-5.586,-0.984,-1.114,-1.099,-1.04,-0.944,-0.911,-0.89,2018
638,BEN,GGXCNL_NGDP,Benin,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.886,-3.244,-3.078,-2.711,-0.565,-2.141,-2.615,-0.148,0.64,2.504,1.944,-3.692,-3.269,-3.33,-1.072,-0.705,-1.523,-0.147,0.222,-0.041,-2.241,-0.276,-0.981,-0.216,-1.365,-1.651,-5.553,-4.289,-4.204,-2.974,-2.269,-1.781,-1.717,-1.591,-1.569,-1.439,2018
514,BTN,GGXCNL_NGDP,Bhutan,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,-4.227,0.754,-1.488,1.735,-10.032,-4.13,-1.121,0.875,-11.093,-7.918,-0.849,-4.003,4.505,-0.561,-1.357,2.233,-2.422,0.979,-1.787,-4.017,-13.242,-4.955,-10.497,1.829,-7.221,-0.831,0.639,0.775,1.893,1.648,-2.122,-1.143,-4.186,3.82,1.507,-1.112,-3.374,-1.951,-1.328,-1.793,-2.316,-0.976,3.899,5.405,2018
218,BOL,GGXCNL_NGDP,Bolivia,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,-9.648,-15.899,-19.799,-25.4,-9.8,-2.7,-7.7,-6.5,-5.5,-4.4,-4.2,-4.4,-6.1,-3,-1.817,-1.9,-3.281,-5.1,-3.837,-3.728,-6.82,-8.788,-7.875,-5.543,-2.245,4.47,1.741,3.569,0.014,1.666,0.831,1.757,0.656,-3.364,-6.904,-7.243,-7.824,-8.143,-7.793,-7.476,-7.108,-6.559,-5.816,-5.259,2017
963,BIH,GGXCNL_NGDP,Bosnia and Herzegovina,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.978,-2.782,-4.637,-3.453,-2.995,-0.444,-0.184,0.76,2.149,0.174,-3.905,-5.346,-4.061,-2.73,-2.685,-1.804,-2.872,-0.197,0.346,1.814,1.725,1.254,0.69,0.9,0.725,0.588,0.333,2018
616,BWA,GGXCNL_NGDP,Botswana,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.601,-2.896,-3.912,-0.174,1.328,10.198,12.978,5.561,-7.474,-13.591,-7.848,-0.114,0.855,5.583,3.696,-4.559,0.681,-1.055,-3.046,-3.118,-2.457,-2.014,-1.232,-0.513,0.697,2019
223,BRA,GGXCNL_NGDP,Brazil,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-5.351,-5.601,-7.214,-5.173,-3.32,-3.172,-4.423,-5.182,-2.88,-3.542,-3.574,-2.739,-1.534,-3.19,-3.826,-2.467,-2.519,-2.955,-6.021,-10.254,-8.997,-7.895,-7.231,-7.525,-6.944,-6.554,-6.401,-6.14,-5.739,2018
516,BRN,GGXCNL_NGDP,Brunei Darussalam,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,33.021,7.903,4.254,-3.836,-5.819,-2.052,-1.359,-9.869,-15.687,-29.883,-26.989,-11.062,-14.424,-28.624,-20.701,6.86,2.585,-4.614,8.061,8.565,16.328,19.739,3.118,36.014,3.61,7.612,25.632,15.786,13.025,3.576,-14.523,-21.68,-10.623,-3.559,-11.47,-11.329,-11.141,-10.544,-9.396,-8.02,2018
918,BGR,GGXCNL_NGDP,Bulgaria,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.231,0.152,-0.609,-0.585,-0.619,0.003,1.606,2.204,3.245,3.088,2.735,-0.858,-3.775,-1.842,-0.437,-1.76,-3.669,-2.806,1.56,0.837,0.127,-2.03,-0.004,0.049,0.042,0.024,0.028,2018
748,BFA,GGXCNL_NGDP,Burkina Faso,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,0.214,-2.336,-3.008,-2.374,4.599,-3.633,0.172,0.711,-4.286,-2.122,-2.975,-1.874,-2.972,-2.922,-3.697,-3.405,-4.002,-4.984,-2.014,-4.719,-5.498,16.179,-5.64,-4.08,-4.679,-4.564,-2.294,-3.109,-3.99,-1.954,-2.372,-3.638,-7.892,-4.992,-3.04,-3.04,-3.04,-3.04,-3.04,-3.04,2018
